단지고유번호,필지고유번호,시도,자치구,법정동,지번,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류코드,단지종류명,동수,세대수,사용승인일,원천데이터
11650100002729,1165010800113260017,서울특별시,서초구,서초동,1326-17,서울특별시 서초구 서초동 1326-17,우성아파트,우성아파트,우성아파트,우성아파트,1,아파트,2,408,1998-05-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100249358,1165010800113550024,서울특별시,서초구,서초동,1355-24,서울특별시 서초구 서초동 1355-24,우정에쉐르,우정에쉐르,우정에쉐르,우정에쉐르,1,아파트,1,77,2004-09-24,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002758,1165010800116330001,서울특별시,서초구,서초동,1633-1,서울특별시 서초구 서초동 1633-1,월드 메르디앙,월드메르디앙B,월드 메르디앙,월드 메르디앙,1,아파트,1,18,2002-09-30,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002759,1165010800116340009,서울특별시,서초구,서초동,1634-9,서울특별시 서초구 서초동 1634-9,월드 메르디앙,월드메르디앙A,월드 메르디앙,월드 메르디앙,1,아파트,1,19,2002-09-30,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002763,1165010800115490003,서울특별시,서초구,서초동,1549-3,서울특별시 서초구 서초동 1549-3,월드메르디앙 101동,월드메르디앙,월드메르디앙 101동,월드메르디앙 101동,1,아파트,1,44,2002-10-15,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100249362,1165010800114500001,서울특별시,서초구,서초동,1450-1,서울특별시 서초구 서초동 1450-1,월드메르디앙오페라하우스,월드메르디앙(오페라),월드메르디앙오페라하우스,월드메르디앙오페라하우스,1,아파트,1,47,2004-09-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002730,1165010800115180002,서울특별시,서초구,서초동,1518-2,서울특별시 서초구 서초동 1518-2,월드빌라트,월드빌라트,,,1,아파트,1,19,1996-12-31,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002731,1165010800116870000,서울특별시,서초구,서초동,1687,서울특별시 서초구 서초동 1687,유원서초아파트,유원서초,유원서초아파트,유원서초아파트,1,아파트,4,590,1993-11-25,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002732,1165010800113640051,서울특별시,서초구,서초동,1364-51,서울특별시 서초구 서초동 1364-51,장미아파트,장미아파트,장미아파트,장미아파트,1,아파트,1,18,2001-06-14,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002733,1165010800115170001,서울특별시,서초구,서초동,1517-1,서울특별시 서초구 서초동 1517-1,장복엘리트타운,장복엘리트타운,,,1,아파트,1,18,1993-09-01,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120021294,1165010800115590001,서울특별시,서초구,서초동,1559-1,서울특별시 서초구 서초동 1559-1,제이씨라디앙,제이씨라디앙,제이씨라디앙,제이씨라디앙,1,아파트,1,14,2005-08-10,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120432016,1165010800116750010,서울특별시,서초구,서초동,1675-10,서울특별시 서초구 서초동 1675-10,지에스타워,지에스타워,지에스타워,,1,아파트,1,54,2022-01-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120388240,1165010800115750001,서울특별시,서초구,서초동,1575-1,서울특별시 서초구 서초동 1575-1,지웰 홈스 서초,지웰홈스서초,지웰 홈스 서초,지웰 홈스 서초,1,아파트,1,154,2019-05-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
