code,name
634,청구
643,돌곶이
644,석계
645,태릉입구
646,화랑대
647,봉화산
709,장암
710,도봉산
711,수락산
712,마들
713,노원
714,중계
715,하계
717,태릉입구
718,먹골
719,중화
720,상봉
721,면목
722,사가정
723,용마산
724,중곡
725,군자
726,어린이대공원
727,건대입구
728,뚝섬유원지
729,청담
730,강남구청
731,학동
732,논현
733,반포
734,고속터미널
735,내방
736,이수
716,공릉
737,남성
738,숭실대입구
739,상도
740,장승배기
741,신대방삼거리
742,보라매
743,신풍
744,대림
745,남구로
746,가산디지털단지
747,철산
748,광명사거리
749,천왕
750,온수
751,까치울
752,부천종합운동장
753,춘의
754,신중동
755,부천시청
757,삼산체육관
758,굴포천
759,부평구청
810,암사
811,천호
812,강동구청
813,몽촌토성
814,잠실
815,석촌
816,송파
817,가락시장
818,문정
819,장지
820,복정
756,상동
821,산성
822,남한산성입구
823,단대오거리
824,신흥
825,수진
826,모란
I110,계양
I111,귤현
I112,박촌
I113,임학
I114,계산
I115,경인교대입구
I116,작전
I117,갈산
I118,부평구청
I119,부평시장
I120,부평
I121,동수
I122,부평삼거리
I124,인천시청
I125,예술회관
I126,인천터미널
I127,문학경기장
I129,신연수
I130,원인재
I131,동춘
I132,동막
I133,캠퍼스타운
I134,테크노파크
I135,지식정보단지
I136,인천대입구
I137,센트럴파크
I138,국제업무지구
I203,검단사거리
I204,마전
I202,왕길
I205,완정
I206,독정
I207,검암
I208,검바위
I210,서구청
I211,가정
I212,가정중앙시장
I213,석남
I214,서부여성회관
I215,인천가좌
I216,가재울
I217,주안국가산단
I218,주안
I219,시민공원
I220,석바위시장
I221,인천시청
I222,석천사거리
I223,모래내시장
I224,만수
I226,인천대공원
I227,운연
901,개화
902,김포공항
903,공항시장
904,신방화
905,마곡나루
906,양천향교
908,증미
909,등촌
910,염창
911,신목동
912,선유도
913,당산
914,국회의사당
915,여의도
916,샛강
917,노량진
918,노들
919,흑석
920,동작
921,구반포
922,신반포
907,가양
923,고속터미널
924,사평
925,신논현
927,선정릉
928,삼성중앙
929,봉은사
930,종합운동장
931,삼전
932,석촌고분
933,석촌
934,송파나루
935,한성백제
936,올림픽공원
937,둔촌오륜
938,중앙보훈병원
A01,서울역
A02,공덕
A03,홍대입구
A04,디지털미디어시티
A042,마곡나루
A05,김포공항
A06,계양
A07,검암
A071,청라국제도시
A08,운서
D9,양재시민의숲
D11,판교
D12,정자
D13,미금
D14,동천
D15,수지구청
D16,성복
D17,상현
D18,광교중앙
D19,광교
U111,회룡
U112,범골
U113,경전철의정부
U114,의정부시청
U115,흥선
U117,의정부중앙
U118,동오
U119,새말
U120,경기도청북부청사
U121,효자
U122,곤제
U123,어룡
A09,공항화물청사
A10,인천공항1터미널
A11,인천공항2터미널
A072,영종
D7,강남
D8,양재
Y111,강남대
Y112,지석
Y113,어정
Y114,동백
Y115,초당
Y117,시청.용인대
Y118,명지대
Y119,김량장
Y120,운동장.송담대
Y121,고진
Y123,보평
Y125,둔전
U110,발곡
U124,송산
U125,탑석
941,북한산우이
942,솔밭공원
943,419민주묘지
944,가오리
947,삼양사거리
948,솔샘
949,북한산보국문
950,정릉
951,성신여대입구
952,보문
K232,오리
I123,간석오거리
130,종로3가
129,종로5가
128,동대문
126,신설동
125,제기동
124,청량리
127,동묘앞
K322,대곡
331,충무로
K233,죽전
D10,청계산입구
953,신설동
841,소사
842,소새울
843,시흥대야
844,신천
845,신현
846,시흥시청
847,시흥능곡
848,달미
849,선부
850,초지
701,원곡
702,원시
690,양촌
691,구래
692,마산
693,장기
694,운양
695,걸포북변
696,사우
697,풍무
698,고촌
699,김포공항
224,서초
K411,이매
100,소요산
I225,남동구청
208,왕십리
K410,판교
K263,신포
648,신내
207,상왕십리
Y116,삼가
K113,한남
P164,지제
Y126,전대.에버랜드
233,대림
I209,아시아드경기장
211-4,신설동
234-1,도림천
234-2,양천구청
211-3,용두
P119,중랑
K237,기흥
I201,검단오류
K110,용산
K245,수원
315,화정
926,언주
Y110,기흥
133,서울역
132,시청
131,종각
945,화계
946,삼양
K118,회기
K315,가좌
