단지고유번호,필지고유번호,시도,시군구,일반구,읍면동,지번,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류코드,단지종류명,동수,세대수,사용승인일,원천데이터
28177100052354,2817710500109660003,인천광역시,미추홀구,,주안동,966-3,인천광역시 미추홀구 주안동 966-3,광해리드빌,광해리드빌(102동),광해리드빌,광해리드빌,1,아파트,1,85,2002-10-02,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120433644,2817710500109680001,인천광역시,미추홀구,,주안동,968-1,인천광역시 미추홀구 주안동 968-1,주안역 청울림,주안역청울림,주안역 청울림,주안역 청울림,1,아파트,1,111,2022-04-14,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120331224,2817710500109720004,인천광역시,미추홀구,,주안동,972-4,인천광역시 미추홀구 주안동 972-4,주안 아파트,주안아파트(972-4),주안 아파트,주안 아파트,1,아파트,1,56,2016-01-12,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120101331,2817710500109750002,인천광역시,미추홀구,,주안동,975-2,인천광역시 미추홀구 주안동 975-2,이루미아,이루미아,이루미아,이루미아,1,아파트,1,17,2008-06-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100448855,2817710500109750005,인천광역시,미추홀구,,주안동,975-5,인천광역시 미추홀구 주안동 975-5,웅빈아파트,웅빈(975-5),웅빈아파트,웅빈아파트,1,아파트,1,15,2002-11-04,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120307856,2817710500109770006,인천광역시,미추홀구,,주안동,977-6,인천광역시 미추홀구 주안동 977-6,도경퍼스트타운,도경퍼스트타운,,,1,아파트,1,15,2014-12-31,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100448856,2817710500109800006,인천광역시,미추홀구,,주안동,980-6,인천광역시 미추홀구 주안동 980-6,청도 스카이뷰 102동,청도스카이뷰,청도 스카이뷰 102동,청도 스카이뷰 102동,1,아파트,1,40,2004-08-17,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005603,2817710500109910011,인천광역시,미추홀구,,주안동,991-11,인천광역시 미추홀구 주안동 991-11,석암(991-11),석암(991-11),,,1,아파트,1,30,1984-11-19,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100448857,2817710500109920015,인천광역시,미추홀구,,주안동,992-15,인천광역시 미추홀구 주안동 992-15,고려아파트,고려,고려아파트,고려아파트,1,아파트,1,18,2002-05-08,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120337466,2817710500110010002,인천광역시,미추홀구,,주안동,1001-2,인천광역시 미추홀구 주안동 1001-2,뉴더웰,뉴더웰,뉴더웰,뉴더웰,1,아파트,1,42,2016-06-08,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005622,2817710500112100002,인천광역시,미추홀구,,주안동,1210-2,인천광역시 미추홀구 주안동 1210-2,윤성아파트,윤성,,윤성아파트,1,아파트,2,108,1989-10-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005605,2817710500112100003,인천광역시,미추홀구,,주안동,1210-3,인천광역시 미추홀구 주안동 1210-3,시영아파트,주안아파트,,시영아파트,1,아파트,3,110,1986-12-31,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
