공고번호,시도,자치구,시군구,법정동,대표단지명,세대수,상태,입주예정월,출처
2020000327,경기도,,의왕시,고천동,의왕고천 A-1블록 행복주택(리츠) 추가모집,1553,입주예정,2020-08,청약홈 분양정보 오픈API
2020000364,경기도,,시흥시,,시흥목감9단지 B5블록,320,입주예정,2020-07,청약홈 분양정보 오픈API
2020000363,경기도,,시흥시,,시흥장현26단지 B1블록,400,입주예정,2020-07,청약홈 분양정보 오픈API
2020000362,경기도,,시흥시,,시흥목감12단지A4블록,160,입주예정,2020-07,청약홈 분양정보 오픈API
2020000361,경기도,,시흥시,,시흥목감3단지 A2블록,160,입주예정,2020-07,청약홈 분양정보 오픈API
2020000360,경기도,,시흥시,,시흥목감11단지 A3블록,240,입주예정,2020-07,청약홈 분양정보 오픈API
2020000358,경기도,,시흥시,,시흥배곧5단지 B5블록,80,입주예정,2020-07,청약홈 분양정보 오픈API
2020000357,경기도,,시흥시,,시흥배곧1단지,80,입주예정,2020-07,청약홈 분양정보 오픈API
2020000355,경기도,,시흥시,목감동,시흥목감10단지 B3블록,80,입주예정,2020-07,청약홈 분양정보 오픈API
2020000346,제주특별자치도,,제주시,애월읍,테라시티 더숨,48,입주예정,2021-01,청약홈 분양정보 오픈API
2020000340,인천광역시,,인천서구,,인천 검단신도시 우미린 에코뷰,437,입주예정,2022-10,청약홈 분양정보 오픈API
2020000335,충청남도,,아산시,탕정면,아산탕정2-A5블록 행복주택 추가모집,508,입주예정,2020-10,청약홈 분양정보 오픈API
2020000331,대구광역시,,대구달서구,본리동,뉴센트럴 두산위브더제니스,316,입주예정,2024-02,청약홈 분양정보 오픈API
2020000317,대전광역시,,대전유성구,,대전노은3지구 네이쳐뷰(분납임대),35,입주예정,2020-06,청약홈 분양정보 오픈API
2020000277,인천광역시,,인천서구,,인천검단신도시3차 노블랜드 리버파크,722,입주예정,2022-10,청약홈 분양정보 오픈API
2020000333,경기도,,부천시,,부천 원종 길성그랑프리텔,86,입주예정,2020-04,청약홈 분양정보 오픈API
2020000311,경기도,,안산단원구,,안산 푸르지오 브리파크,588,입주예정,2023-04,청약홈 분양정보 오픈API
2020000330,경기도,,부천시,,부천시 부천옥길B1 10년 분양전환공공임대,30,입주예정,2021-04,청약홈 분양정보 오픈API
2020000329,경기도,,부천시,,부천약대1 10년 분양전환공공임대,10,입주예정,2021-04,청약홈 분양정보 오픈API
2020000280,세종특별자치시,,세종시,다정동,행정중심복합도시 2-1생활권 M6블록 국민임대주택 추가 (세종),932,입주예정,2020-11,청약홈 분양정보 오픈API
2020000323,경기도,,의정부시,,의정부고산 S2-2BL 국민임대 추가모집,28,입주예정,2020-07,청약홈 분양정보 오픈API
2020000312,서울특별시,서초구,,잠원동,르엘 신반포,67,입주예정,2022-12,청약홈 분양정보 오픈API
2020000308,충청북도,,청주상당구,,탑동 힐데스하임,1105,입주예정,2022-11,청약홈 분양정보 오픈API
2020000307,전라남도,,순천시,서면,순천금호어울림더파크2차,349,입주예정,2022-04,청약홈 분양정보 오픈API
2020000300,대구광역시,,대구중구,남산동,반월당역 서한포레스트,163,입주예정,2022-11,청약홈 분양정보 오픈API
2020000297,경기도,,파주시,와동동,파주운정 A-39블록 행복주택 추가 (파주),69,입주예정,2020-07,청약홈 분양정보 오픈API
2020000305,경기도,,수원권선구,,수원세류2단지 2BL,3,입주예정,2020-05,청약홈 분양정보 오픈API
